countrycode,country,currency_unit,year,rgdpe,pop,emp,avh,hc,rgdpna,xr
ARG,Argentina,Argentine Peso,2019,991646.31,44.780677,20.643215,1609.068997782645,3.0968044,975569,48.1478916666667
AUS,Australia,Australian Dollar,2019,1280843.3,25.203198,12.863174,1726.797659012843,3.5496662,1315734.3,1.43850654421382
AUT,Austria,Euro,2019,498022.25,8.955102,4.550281,1611.374222833017,3.3810463,476723.31,.893276257067393
BEL,Belgium,Euro,2019,589449.13,11.539328,4.9219365,1586.43099700467,3.149034,534102.31,.893276257067393
BGD,Bangladesh,Taka,2019,756355.56,163.046161,65.534065,2418.882693223619,2.1017904,766135.31,84.45352250000001
BGR,Bulgaria,Bulgarian Lev,2019,159419.97,7.000119,3.4204185,1645.246463926103,3.1860151,148186.92,1.74704166666667
BRA,Brazil,Brazilian Real,2019,3089273.5,211.049527,93.956825,1707.795057866818,3.0913732,3042119,3.92734187106023
CAN,Canada,Canadian Dollar,2019,1846581.1,37.411047,19.298662,1689.28093285823,3.721066,1874187.3,1.32685401080827
CHE,Switzerland,Swiss Franc,2019,617131.81,8.591365,5.0112047,1556.88284435749,3.7026784,648257.25,.993841435185185
CHL,Chile,Chilean Peso,2019,447186.63,18.952038,8.1000719,1914.4,3.1457689,443616.22,702.897422561529
CHN,China,Yuan Renminbi,2019,20056066,1433.783686,798.80774,2168.918848480165,2.698987,20572606,6.90838500992901
COL,Colombia,Colombian Peso,2019,695683.63,50.339443,21.199608,1968.367261795698,2.5987871,695584.44,3280.83163119763
CRI,Costa Rica,Costa Rican Colon,2019,97161.359,5.047561,2.2563555,2069.245456553682,2.6947718,94038.68,587.294595686124
CYP,Cyprus,Euro,2019,33665.641,.8684949999999999,.36656716,1805.239784823166,2.904392,28697.797,.893276257067393
CZE,Czech Republic,Czech Koruna,2019,435390.09,10.689209,5.4814324,1787.543401663838,3.6743042,399767.31,22.93225
DEU,Germany,Euro,2019,4308861.5,83.517045,44.795197,1386.196834379698,3.6753778,4314067.5,.893276257067393
DNK,Denmark,Danish Krone,2019,322637.5,5.771876,2.9718366,1380.607643405578,3.5992649,311263.66,6.669446615
DOM,Dominican Republic,Dominican Peso,2019,190792.66,10.738958,5.1266794,2142.102010240095,2.767154,195627.88,51.2948583333333
ECU,Ecuador,US Dollar,2019,195248.41,17.373662,8.2466707,1551.642809489663,2.7624695,194146.83,1
ESP,Spain,Euro,2019,1932678.6,46.736776,19.872013,1685.951505577145,2.9854052,1896315.4,.893276257067393
