countrycode,country,currency_unit,year,rgdpe,pop,emp,avh,hc,rgdpna,xr
ABW,Aruba,Aruban Guilder,2019,3921.2612,.106314,.047600888,,,3068.7583,1.79
AGO,Angola,Kwanza,2019,228151.02,31.825295,16.644962,,1.4819844,222151.06,364.825804980887
AIA,Anguilla,East Caribbean Dollar,2019,376.63498,.014869,,,,223.45671,2.7
ALB,Albania,Lek,2019,35890.02,2.880917,1.0758977,,2.964992,37204.773,109.850833333333
ARE,United Arab Emirates,UAE Dirham,2019,681525.81,9.770529,5.8088341,,2.7466948,647986.25,3.6725
ARM,Armenia,Armenian Dram,2019,41048.629,2.957731,.96609098,,3.1359947,43260.195,480.445128767119
ATG,Antigua and Barbuda,East Caribbean Dollar,2019,1986.1632,.097118,,,,1511.545,2.7
AZE,Azerbaijan,Azerbaijanian Manat,2019,162126.19,10.047718,5.0271788,,,143939.81,1.7
BDI,Burundi,Burundi Franc,2019,8664.9883,11.53058,5.0035882,,1.4165261,9250.6758,1845.62289069697
BEN,Benin,CFA Franc BCEAO,2019,36740.742,11.801151,4.3003006,,1.9186096,39131.945,585.911013180369
BFA,Burkina Faso,CFA Franc BCEAO,2019,43608.875,20.321378,6.958756,,1.2862425,41563.883,585.911013180369
BHR,Bahrain,Bahraini Dinar,2019,74097.227,1.641172,.74366361,,2.229507,76237.617,.376
BHS,Bahamas,Bahamian Dollar,2019,14412.818,.389482,.20731556,,,12739.764,1
BIH,Bosnia and Herzegovina,Convertible Marks,2019,46953.844,3.301,.69026357,,,45161.164,1.74708646136073
BLR,Belarus,Belarussian Ruble,2019,201465.02,9.452411,4.3064418,,,200419.19,2.09178333333333
BLZ,Belize,Belize Dollar,2019,2680.8494,.390353,.15851848,,3.6127696,2384.4172,2
BMU,Bermuda,Bermudian Dollar,2019,4998.4541,.062506,.034207296,,,3258.4353,1
BOL,Bolivia (Plurinational State of),Boliviano,2019,99341.836,11.5131,5.5438256,,2.9660437,97502.523,6.91
BRB,Barbados,Barbados Dollar,2019,4848.3872,.287025,.13225862,,2.8460724,3355.1042,2
