countrycode,country,rgdpo
ABW,Aruba,3467.2996
AGO,Angola,227855.72
AIA,Anguilla,225.68053
ALB,Albania,36103.043
ARE,United Arab Emirates,645956.25
ARG,Argentina,977420.56
ARM,Armenia,43582.574
ATG,Antigua and Barbuda,1603.8545
AUS,Australia,1364677.8
AUT,Austria,477705.5
AZE,Azerbaijan,159346
BDI,Burundi,9109.6885
BEL,Belgium,517419.75
BEN,Benin,38295.496
BFA,Burkina Faso,43084.152
BGD,Bangladesh,759470.63
BGR,Bulgaria,149432.42
BHR,Bahrain,77077.609
BHS,Bahamas,12887.392
BIH,Bosnia and Herzegovina,45538.426
BLR,Belarus,204795.34
BLZ,Belize,2186.9216
BMU,Bermuda,3142.3936
BOL,Bolivia (Plurinational State of),98835.711
BRA,Brazil,3080048.5
BRB,Barbados,3506.668
BRN,Brunei Darussalam,31737.773
BTN,Bhutan,8987.999
BWA,Botswana,37975.008
CAF,Central African Republic,4642.4487
CAN,Canada,1866214.9
CHE,Switzerland,646919.63
CHL,Chile,440683.34
CHN,China,20257660
CIV,Côte d'Ivoire,129491.77
CMR,Cameroon,94487.523
COD,D.R. of the Congo,88673.375
COG,Congo,25057.65
COL,Colombia,707659.63
COM,Comoros,2730.4026
CPV,Cabo Verde,3998.6194
CRI,Costa Rica,93491.828
CUW,Curaçao,3458.3101
CYM,Cayman Islands,4004.115
CYP,Cyprus,28053.969
CZE,Czech Republic,401072.22
DEU,Germany,4275312
DJI,Djibouti,5970.2817
DMA,Dominica,741.6142
DNK,Denmark,311838
DOM,Dominican Republic,192514.5
DZA,Algeria,507487.56
ECU,Ecuador,195204.02
EGY,Egypt,1210669.8
ESP,Spain,1886595.3
EST,Estonia,44876.348
ETH,Ethiopia,304937.22
FIN,Finland,248551.55
FJI,Fiji,12240.178
FRA,France,2946958.3
GAB,Gabon,33658.086
GBR,United Kingdom,2989895.5
GEO,Georgia,68167.484
GHA,Ghana,163139.16
GIN,Guinea,29205.352
GMB,Gambia,5655.293
GNB,Guinea-Bissau,3554.2791
GNQ,Equatorial Guinea,33510.156
GRC,Greece,284893.63
GRD,Grenada,1721.9657
GTM,Guatemala,136605.02
GUY,Guyana,10184.115
HKG,"China, Hong Kong SAR",407575.75
HND,Honduras,52902.539
HRV,Croatia,107392.04
HTI,Haiti,17503.061
HUN,Hungary,283145.16
IDN,Indonesia,3137931
IND,India,9170555
IRL,Ireland,501053.59
IRN,Iran (Islamic Republic of),1097856.6
IRQ,Iraq,468582.53
ISL,Iceland,17972.625
ISR,Israel,328529.53
ITA,Italy,2466327.5
JAM,Jamaica,24867.324
JOR,Jordan,108987.23
JPN,Japan,5036891
KAZ,Kazakhstan,525124.06
KEN,Kenya,222738.47
KGZ,Kyrgyzstan,39366.727
KHM,Cambodia,74190.305
KNA,Saint Kitts and Nevis,1211.7036
KOR,Republic of Korea,2162705.3
KWT,Kuwait,261068.53
LAO,Lao People's DR,54384.285
LBN,Lebanon,101120.85
LBR,Liberia,6212.1699
LCA,Saint Lucia,2602.4885
LKA,Sri Lanka,283395
LSO,Lesotho,5727.3213
LTU,Lithuania,89642.18
LUX,Luxembourg,55710.793
LVA,Latvia,56079.445
MAC,"China, Macao SAR",59874.164
MAR,Morocco,288999.75
MDA,Republic of Moldova,38162.605
MDG,Madagascar,41507.461
MDV,Maldives,10306.475
MEX,Mexico,2390322.5
MKD,North Macedonia,32876.156
MLI,Mali,48087.625
MLT,Malta,17134.908
MMR,Myanmar,278516.31
MNE,Montenegro,13721.467
MNG,Mongolia,38380.402
MOZ,Mozambique,37315.926
MRT,Mauritania,21162.975
MSR,Montserrat,77.694183
MUS,Mauritius,29758.16
MWI,Malawi,21635.066
MYS,Malaysia,822237.38
NAM,Namibia,23331.656
NER,Niger,28226.436
NGA,Nigeria,1001537.3
NIC,Nicaragua,32886.406
NLD,Netherlands,950077.94
NOR,Norway,396253.88
NPL,Nepal,103878.73
NZL,New Zealand,198604.61
OMN,Oman,152847.92
PAK,Pakistan,1088502.5
PAN,Panama,126883.19
PER,Peru,397821.03
PHL,Philippines,913426.81
POL,Poland,1211846.3
PRT,Portugal,325160.03
PRY,Paraguay,86788.555
PSE,State of Palestine,36793.781
QAT,Qatar,323141.16
ROU,Romania,540045.75
RUS,Russian Federation,4161194.5
RWA,Rwanda,28783.219
SAU,Saudi Arabia,1775962.4
SDN,Sudan,181135.73
SEN,Senegal,52927.867
SGP,Singapore,477907.88
SLE,Sierra Leone,14651.26
SLV,El Salvador,52378.773
SRB,Serbia,120447.67
STP,Sao Tome and Principe,813.93469
SUR,Suriname,8418.6777
SVK,Slovakia,149921.44
